ep,objects,boxes,target,dest,instruction
284,"marker,red_cube,purple_cube,green_cube",gray,marker,gray,Move the marker to the gray box
285,blue_cube,black,blue_cube,black,Grab the blue block and put it in the box
286,"green_cube,marker,yellow_cube,blue_cube",brown,yellow_cube,brown,Pick up the yellow block and place it in the brown box
287,"cyan_cube,red_cube,marker,yellow_cube","gray,black",cyan_cube,black,Move the cyan block to the black box
288,"marker,green_cube,purple_cube,eraser","gray,brown",green_cube,gray,Pick up the green cube and place it in the gray box
289,"blue_cube,purple_cube,eraser,red_cube",brown,eraser,brown,Pick up the eraser and place it in the brown box
290,yellow_cube,gray,yellow_cube,gray,Move the yellow cube to the box
291,"cyan_cube,red_cube,eraser,marker",black,red_cube,black,Grab the red block and put it in the box
292,green_cube,gray,green_cube,gray,Pick up the block and place it in the box
293,"purple_cube,blue_cube,cyan_cube,marker",brown,marker,brown,Pick up the marker and place it in the brown box
294,"green_cube,blue_cube,yellow_cube,red_cube","gray,black",blue_cube,black,Pick up the blue cube and place it in the black box
295,cyan_cube,black,cyan_cube,black,Put the cyan cube into the black box
296,"eraser,marker,purple_cube,yellow_cube","gray,brown",purple_cube,gray,Put the purple cube into the gray box
297,"marker,red_cube,blue_cube,green_cube","black,brown",red_cube,brown,Grab the red block and put it in the brown box
298,"purple_cube,eraser,yellow_cube,cyan_cube",brown,purple_cube,brown,Put the purple cube into the box
299,green_cube,black,green_cube,black,Pick up the block and place it in the box
300,"cyan_cube,purple_cube,blue_cube,yellow_cube","gray,black",yellow_cube,gray,Pick up the yellow block and place it in the gray box
301,"cyan_cube,red_cube,yellow_cube,green_cube",brown,cyan_cube,brown,Pick up the cyan cube and place it in the box
302,"purple_cube,blue_cube,red_cube,marker",gray,marker,gray,Pick up the marker and place it in the gray box
303,"marker,blue_cube,yellow_cube,eraser","black,brown",blue_cube,black,Move the blue block to the black box
304,"green_cube,cyan_cube,eraser,red_cube","black,gray",eraser,black,Move the eraser to the black box
305,"marker,purple_cube,green_cube,red_cube",gray,marker,gray,Pick up the marker and place it in the gray box
306,"yellow_cube,blue_cube,cyan_cube,purple_cube","brown,gray",yellow_cube,brown,Grab the yellow block and put it in the brown box
307,"red_cube,cyan_cube,marker,eraser",brown,red_cube,brown,Pick up the red cube and place it in the brown box
308,"green_cube,yellow_cube,eraser,purple_cube",gray,purple_cube,gray,Move the purple block to the box
309,"green_cube,eraser,cyan_cube,marker","black,brown",cyan_cube,black,Put the cyan cube into the black box
310,"blue_cube,purple_cube,red_cube,eraser",black,eraser,black,Grab the eraser and put it in the box
311,"yellow_cube,green_cube,blue_cube,cyan_cube",gray,green_cube,gray,Pick up the green cube and place it in the box
312,"blue_cube,yellow_cube,marker,eraser","brown,gray",blue_cube,brown,Grab the blue block and put it in the brown box
313,"green_cube,purple_cube,red_cube,eraser","black,gray",eraser,black,Pick up the eraser and place it in the black box
314,"blue_cube,yellow_cube,green_cube,marker","black,gray",green_cube,gray,Pick up the green cube and place it in the gray box
315,"yellow_cube,marker,cyan_cube,purple_cube",brown,purple_cube,brown,Pick up the purple block and place it in the box
316,"marker,cyan_cube,blue_cube,red_cube","brown,gray",red_cube,gray,Grab the red cube and put it in the gray box
317,"green_cube,red_cube,eraser,blue_cube",brown,blue_cube,brown,Pick up the blue cube and place it in the box
318,"yellow_cube,red_cube,purple_cube,cyan_cube","black,brown",yellow_cube,black,Pick up the yellow cube and place it in the black box
319,"cyan_cube,green_cube,marker,eraser","brown,black",cyan_cube,black,Put the cyan block into the black box
320,"yellow_cube,marker,red_cube,purple_cube",gray,marker,gray,Grab the marker and put it in the box
321,"green_cube,cyan_cube,blue_cube,purple_cube","black,brown",green_cube,brown,Pick up the green cube and place it in the brown box
322,"eraser,purple_cube,marker,green_cube",brown,purple_cube,brown,Move the purple cube to the box
323,"red_cube,blue_cube,marker,yellow_cube","gray,brown",marker,gray,Pick up the marker and place it in the gray box
324,"cyan_cube,yellow_cube,green_cube,eraser",black,cyan_cube,black,Pick up the cyan block and place it in the black box
325,"yellow_cube,red_cube,blue_cube,eraser","black,gray",blue_cube,black,Pick up the blue cube and place it in the black box
326,red_cube,gray,red_cube,gray,Move the red cube to the gray box
327,"cyan_cube,eraser,purple_cube,blue_cube",brown,eraser,brown,Pick up the eraser and place it in the brown box
328,"purple_cube,green_cube,yellow_cube,marker",gray,yellow_cube,gray,Pick up the yellow cube and place it in the gray box
329,blue_cube,brown,blue_cube,brown,Put the blue block into the box
330,"purple_cube,green_cube,cyan_cube,yellow_cube",black,yellow_cube,black,Pick up the yellow block and place it in the black box
